IDNumber	Author	Title	PublishingDetails	Note	firmsIndividualsIndex	Location	featherid
044	NULL	150th anniversary supplement.	Windsor, Slough and Eton Express, 1962.	NULL	Windsor and Eton Express, The	Berkshire	1
045	NULL	At a ripe old age of 125.	Bucks Advertiser, 1 Dec 1961, p.1.	Note: See also Madden and Dixon 648-49.	Aylesbury News and Advertiser for Bucks, The	Buckinghamshire	2
046	NULL	Centenary number 1832-1932.	Bucks Herald, 1 Jan 1932.	NULL	Bucks Herald, The	Buckinghamshire	3
047	Keefe, H. T.	A century in print. The story of Hazells.	Aylesbury: Hazell, Watson and Viney, 1939.	NULL	Hazell, Watson, and Viney ltd.	Buckinghamshire	4
048	Gray,George J. and Palmer, William Mortlock.	Abstracts from the wills and testamentary documents of printers, binders and stationers of Cambridge, from 1504 to 1699.	London: The Bibliographical Society, 1915.	NULL	NULL	Cambridgshire	5
049	Gray, George J.	Cambridge bookselling,	Cambridge: Bowes and Bowes, 1925.	NULL	NULL	Cambridgshire	6
050	-	The earlier Cambridge stationers & bookbinders and the first Cambridge printer.	London: The Bibliographical Society, illustrated monograph, 13, 1904.	NULL	NULL	Cambridgshire	7
051	-	The early stationers and bookbinders, and the first printer, of Cambridge.	TBS, 6 (1901),14-48.	NULL	NULL	Cambridgshire	8
052	Murphy, Michael J.	Cambridge newspapers and opinion 1780-1850.	Cambridge: The Oleander Press, 1977.	NULL	NULL	Cambridgshire	9
053	Oates, J. C. T.	Books at Cambridge in the sixteenth century and before. In Crutchley, Brooke. Siberch celebrations 1521-1971.	Cambridge: Cambridge University press, 1971.	NULL	NULL	Cambridgshire	10
054	Sayle, C. E.	Cambridge fragments. Postscript.	Libr., 3rd ser., 3 (1912), 336-39.	NULL	NULL	Cambridgshire	11
055	Stokes, H. P.	Cambridge stationers, printers, bookbinders, &c.	Cambridge: Bowes and Bowes, 1919.	NULL	NULL	Cambridgshire	12
056	NULL	Catalogue of an exhibition of Cambridge books and printing held in the Old Court House, Marylebone Road.	Cambridge: Cambridge University Press, 1931.	NULL	NULL	Cambridgshire	13
057	Nixon, H. M.	A Cambridge binding by William Bonnor, 1736.	BC, 22 (1973), 494.	NULL	Bonner, William	Cambridgshire	14
058	NULL	Bicentenary number.	Cambridge Independent Press and Chronicle, 25 Feb 1944.	NULL	Cambridge Chronicle, The	Cambridgshire	15
059	Cranfield, G. A.	The first Cambridge newspaper.	Proc.Cambridge Antiq Soc., 45(1951), 5-16.	NULL	Cambridge Journal, The	Cambridgshire	16
060	Nixon, H. M.	A Cambridge binding by Ed. Moore, c. 1748.	BC, 16 (1967), 481.	NULL	Moore, Edward	Cambridgshire	17
061	Bowes, Robert and Gray, G. J.	John Siberch.	Cambridge: Bowes and Bowes, 1906.	NULL	Siberch, John von Lair	Cambridgshire	18
062	Crutchley, Brooke.	The first Cambridge printer. In Crutchley, Brooke. Siberch celebrations 1521-1971.	Cambridge: Cambridge University Press, 1971.	NULL	Siberch, John von Lair	Cambridgshire	19
063	Gray, George J.	The Cambridge University Press and John Siberch.	Libr., 4th ser., 8 (1928), 260-63.	NULL	Siberch, John von Lair	Cambridgshire	20
064	-	John Siberch. The first Cambridge printer.	Cambridge: Bowes and Bowes, 1921.	NULL	Siberch, John von Lair	Cambridgshire	21
065	Treptow, Otto.	John Siberch.	Cambridge: CBS, monograph, 6, 1970.	Note: Translated from the German by Trevor Jones, and edited by John Morris and Trevor Jones. Originally published in 1964, and in a revised version, in Heimatbuch der Stadt Sieburg, 2 (1967).	Siberch, John von Lair	Cambridgshire	22
066	NULL	Siberch celebrations.	Printing World, 188 (1971), 401.	NULL	Siberch, John von Lair	Cambridgshire	23
067	Baillie, W. M.	The printing of privileged books at Cambridge 1631-1634.	TCBS, 5 (1971),155-66.	NULL	Cambridge University Press	Cambridgshire	24
068	Bowes, Robert.	Biographical notes on the University Printers from the commencement of printing in Cambridge to the present time.	Proc. Cambridge Antiq. Soc., 5 (1883-86), 283-362.	NULL	Cambridge University Press	Cambridgshire	25
069	Jenkinson, Francis, Roberts, S. C., and Barnes, G. R.	A list of books printed in Cambridge at the University Press 1521-1800.	Cambridge: Cambridge University Press, 1935.	NULL	Cambridge University Press	Cambridgshire	26
070	Roberts, S. C.	The evolution of Cambridge publishing.	Cambridge: Cambridge University Press, 1956.	NULL	Cambridge University Press	Cambridgshire	27
071	-	A history of the Cambridge University Press 1521-1921.	Cambridge: Cambridge University Press, 1921.	NULL	Cambridge University Press	Cambridgshire	28
072	NULL	The University Printing Houses at Cambridge from the sixteenth to the twentieth centuries.	Cambridge: Cambridge University Press, 1963.	NULL	Cambridge University Press	Cambridgshire	29
073	NULL	Printing in Wisbech.	Wisbech, 1974.	NULL	NULL	Cambridgshire	30
074	NULL	Centenary number.	Isle of Ely and Wisbecb Advertiser, 1 Aug 1945.	NULL	Wisbech Advertiser, The	Cambridgshire	31
075	Cheshire bibliography. [by various hands]. In J. P. Earwaker	Local gleanings relating to Lancashire and Chesire.	1 ( 1875-76). Â§ 194, 200, 209, 231, 241, 246-48, 2156, 260-61, 278, 286, 294.	NULL	NULL	Cheshire	32
076	Cooke, John H.	Bibliotheca Cestrensis: or, a biographical account of books, maps, plates, and other printed matter ... printed or published in ... the county of Chester.	Warrington: Mackie & Co. Ltd., 1904.	NULL	NULL	Cheshire	33
077	R., B. C.	Private printing presses, 1799-1850.	Cheshire Sheaf, 4th ser., 1 (1967), 30.	Note: A list of registrations under the Seditious SocietiesAct 1799. See no.15, based on the same Act.	NULL	Cheshire	34
078	Smith, R.E.G.	Newspapers first published before 1900 in Lancashire, Cheshire, and the Isle of Man: a union list.	London: The Library Association, Reference, Special and Information Section, 1964.	NULL	NULL	Cheshire	35
079	Nuttall, Derek.	A history of printing in Chester from 1668 to 1965.	Chester: The Author, 1969.	NULL	NULL	Cheshire	36
080	Parr,M	Chester Welsh printing.	J.Chester and North Wales Arch. And Historic Soc.,21 (1915),56-76.	NULL	NULL	Cheshire	37
081	Stewart-Brown, R.	The stationers, booksellers and printers of Chester to about 1800.	Trans. Historic Soc. of Lancashire and Cheshire, 83 (1932), 101-52.	NULL	NULL	Cheshire	38
082	Hall, James.	Chester newspapers about 100 years ago.	J.Chester and North Wales Arch. And Historic Soc., new ser., 21 (1915), 47-55.	NULL	NULL	Cheshire	39
083	Hughes, Thomas.	On Chester literature, its authors and publishers, during the sixteenth and seventeenth centuries.	J.Architectural, Arch. And Historic Soc. For the County, City and Neighbourhood of Chester, 2 (1855-62), 21-30.	NULL	NULL	Cheshire	40
084	NULL	150th birthday number.	Chester Chronicle, 2 May 1925	NULL	Chester Chronicle, The	Cheshire	41
085	NULL	Bicentenary souvenir edition 1730-1930.	Chester Courant, 26 Nov 1930.	Note: See also Madden and Dixon 808.	Chester Courant, The	Cheshire	42
086	B., H.	A 'forgotten' newspaper.	Cheshire Sheaf, 3rd ser., 59 (1964), 15.	NULL	Chester Guardian, The	Cheshire	43
087	T., W.	The Chester Guardian.	Cheshire Sheaf, 3rd ser., 59 (1964), 39.	NULL	Chester Guardian, The	Cheshire	44
088	Taylor, Henry.	Chester's oldest newspaper.	J Chester and North Wales Arch. and Historic Soc., new ser., 21 (1915), 25-29.	NULL	Chester Weekly Journal, The	Cheshire	45
089	C., I.	An early Chester newspaper.	Cheshire Sheaf, 3rd ser., 57 (1962), 71.	NULL	Industrious Bee, The	Cheshire	46
090	Plomer, H. R.	A Chester bookseller,1667-1700: some of his customers and the books he sold them.	Libr, 2nd ser., 4 (1904), 373-83.	NULL	Minshull, John	Cheshire	47
091	NULL	Centenary number.	Macclesfield Courier and Herlad, 4 Feb 1911	NULL	Macclesfield Courier, The	Cheshire	48
092	NULL	Centenary supplement 1822-1922.	Stockport Advertsider, 31 Mar 1922.	NULL	Stockport Advertiser, The	Cheshire	49
093	Attwood, J. S.	Booksellers and printers in Devon and Cornwall in the seventeenth and eighteenth centuries.	Devon and Cornwall NQ, 9 (1916-17), 129-38.	NULL	NULL	Cornwall	50
094	Potts, R. A. J.	Early Cornish printers, 1740-1850.	J. Royal Inst. of Cornwall, new ser., 4 (1964),264-325.	NULL	NULL	Cornwall	51
095	Barnes, F., and Hobbs, J L.	Handlist of newspapers published in Cumberland, Westmorland, and north Lancashire.	Cumberland and Westmorland Antiq. and Arch. Soc., tract ser., 14, 1951.	NULL	NULL	Cumberland	52
