CountyID	County	CountryID	ISO3166	Chapman	ISO3166Deleted	Notes
?	?	NULL	ZZ			
ABD	Aberdeenshire	ZT	GB-ABD	ABD		
ANG	Anglesey	WL	GB-AGY	AGY		
AYR	Ayrshire	ZT		AYR		
BAN	Banffshire	ZT		BAN		
BED	Bedfordshire	EN		BDF	GB-BDF	
BER	Berkshire	EN		BRK		
BRE	Brecon	WL				
BUC	Buckinghamshire	EN	GB-BKM	BKM		
CAE	Caernarvonshire	WL		CAE		
CAG	Cardiganshire	WL	GB-CGN	CGN		
CAM	Cambridgeshire	EN	GB-CAM	CAM		
CAR	Carmarthenshire	WL	GB-CMN	CMN		
CHE	Cheshire	EN		CHS	GB-CHE	
COR	Cornwall	EN	GB-CON	CON		
CUM	Cumberland	EN		CUL		
DEN	Denbighshire	WL	GB-DEN	DEN		
DER	Derbyshire	EN	GB-DBY	DBY		
DEV	Devon	EN	GB-DEV	DEV		
DOR	Dorset	EN	GB-DOR	DOR		
DUR	Durham	EN	GB-DUR	DUR		
ESS	Essex	EN	GB-ESS	ESS		
FLI	Flintshire	WL	GB-FLN	FLN		
GLA	Glamorgan	WL		GLA		
GLO	Gloucestershire	EN	GB-GLS	GLS		
GUE	Guernsey	EN		GSY	GB-GSY	
HAM	Hampshire	EN	GB-HAM	HAM		
HFR	Herefordshire	EN	GB-HEF	HEF		
HFT	Hertfordshire	EN	GB-HRT	HRT		
HUN	Huntingdonshire	EN		HUN		
INV	Inverness-shire	ZT		INV		
IOM	Isle of Man	EN		IOM	GB-IOM	
IOW	Isle of Wight	EN	GB-IOW	IOW		
JER	Jersey	EN		JSY	GB-JSY	
KEN	Kent	EN	GB-KEN	KEN		
LAN	Lancashire	EN	GB-LAN	LAN		
LEI	Leicestershire	EN	GB-LEC	LEI		
LIN	Lincolnshire	EN	GB-LIN	LIN		
LON	London	EN	GB-LND	LND		
LOT	Lothian	ZT		LTN		
MER	Merionethshire	WL		MER		
MID	Middlesex	EN		MDX		
MON	Monmouthshire	WL	GB-MON	MON		
MOT	Montgomeryshire	WL		MGY		
NOF	Norfolk	EN	GB-NFK	NFK		
NOH	Northamptonshire	EN		NTH		
NOL	Northumberland	EN	GB-NBL	NBL		
NOT	Nottinghamshire	EN	GB-NTT	NTT		
OXF	Oxfordshire	EN	GB-OXF	OXF		
PEM	Pembrokeshire	WL	GB-PEM	PEM		
PER	Perthshire	ZT		PER		
RAD	Radnorshire	WL		RAD		
RFW	Renfrew	ZT	GB-RFW	RFW		
RUT	Rutland	EN	GB-RUT	RUT		3166 code is ceremonial county
SHR	Shropshire	EN	GB-SHR	SAL		3166 code is a district; Chapman is historic Salop
SOM	Somerset	EN	GB-SOM	SOM		
STA	Staffordshire	EN	GB-STS	STS		
SUF	Suffolk	EN	GB-SFK	SFK		
SUR	Surrey	EN	GB-SRY	SRY		
SUS	Sussex	EN		SSX		In 3166, divided into East and West Sussex
WAR	Warwickshire	EN	GB-WAR	WAR		
WES	Westmorland	EN		WES		Now part of Cumbria
WIL	Wiltshire	EN	GB-WIL	WIL		
WOR	Worcestershire	EN	GB-WOR	WOR		
YOR	Yorkshire	EN		YKS		In 3166, divided into North Yorkshire and East Riding of Yorkshire
